Artist,Title,Key,BPM,Genre
KH (UK),Only Human,C♯ min,127,Afro House
Oliver Koletzki & Niko Schwind,Camps Bay,G min,124,Afro House
Floyd Lavine,Kusimama,G min,120,Afro House
Super Flu,Really Really,C♯ min,122,Afro House
Emmanuel Jal,Kuar,E♭ maj,122,Afro House
Sparrow & Barbossa,Yeke,C maj,122,Afro House
Super Flu,Pantura Feat. She-Ra,A maj,123,Afro House
Manuel Kane,We Fly,F maj,123,Afro House
PAAX (Tulum),Djorolen,D min,120,Afro House
Djuma Soundsystem,Oloro Nyager feat. Olith,E maj,122,Afro House
Emmanuel Jal,Rahamah,F♯ min,121,Afro House
THEMBA (SA),The Wolf,G min,120,Afro House
Quim Manuel O Espirito Santo,Eme Lelu,D min,121,Afro House
Cosmo & Kramer,Brooklyn,E min,121,Afro House
LVTECE,Mun,G min,120,Afro House
Kalyma,Red Man Calypso,E♭ maj,120,Afro House
Deorbiting,Tunguska,E min,122,Afro House
Arthur Baker,Higher Power feat. Lumina,A♯ maj,120,Afro House
Super Flu,Lord Extra,F♯ min,122,Afro House
DJ Angelo,The Ride,A maj,122,Afro House
Pablo Fierro,Panoramica,G maj,123,Afro House
Elfenberg,Kéyah,D♯ min,122,Afro House
Massimo Lippoli,Dougne Te Soye,G♭ maj,121,Afro House
&ME,Muyè,A min,120,Afro House
Lee Burridge,Vutuka feat. Junior,G maj,118,Afro House
Super Flu,Birdsong,A maj,122,Afro House
Speaking In Tongues,Sabbath,E maj,120,Afro House
Diplo,Bubble Up,A min,123,Afro House
Alex Niggemann,Bwana,F maj,123,Afro House
Floyd Lavine,Masala,D min,125,Afro House
Speaking In Tongues,Lost In A Jungle,A maj,122,Afro House
Gregor Salto,Canoa,B♭ min,127,Afro House
Emmanuel Jal,Rahamah,F♯ min,121,Afro House
Pablo Fierro,Panoramica,B min,123,Afro House
Dennis Cruz,Black Bird,D♯ min,117,Afro House
Elfenberg,Loma,C maj,124,Afro House
THEMBA (SA),Who is Themba?,F min,123,Afro House
Alex Fogo,Inca,E maj,120,Afro House
